,city,lat,lon,city_name
0,"Zhangjiajie, Hunan, China",29.117001,110.478996,Hunan
1,"Xingyi, Guizhou Province, China",25.091999,104.894997,Guizhou Province
2,"Foshan, Gundong Province, China",23.016666,113.116669,Gundong Province
3,"Anshan, Liaoning, China",41.116669,122.98333,Liaoning
4,"Datong, Shanxi, China",40.083332,113.300003,Shanxi
5,"Luoyang, Henan, China",34.669724,112.442223,Henan
6,"Baotou, Inner Mongolia, China",40.650002,109.833336,Inner Mongolia
7,"Nanchang, Jiangxi, China",28.683332,115.883331,Jiangxi
8,"Guiyang, Guizhou, China",26.646999,106.629997,Guizhou
9,"Zibo, Shandong, China",36.783333,118.050003,Shandong
10,"Tangshan, Hebei, China",39.631001,118.18,Hebei
11,"Changzhou, Jiangsu, China",31.811001,119.973999,Jiangsu
12,"Kunming, Yunnan, China",25.043333,102.706108,Yunnan
13,"Nanning, Guangxi, China",22.816668,108.316666,Guangxi
14,"Fuzhou, Fujian, China",26.0753,119.308197,Fujian
15,"Changsha, Hunan, China",28.228001,112.939003,Hunan
16,"Jinan, Shandong, China",36.666668,116.98333,Shandong
17,"Harbin, Heilongjiang, China",45.75,126.633331,Heilongjiang
18,"Suzhou, Jiangsu, China",31.299999,120.599998,Jiangsu
19,"Dalian, Liaoning, China",38.920834,121.639168,Liaoning
20,"Qingdao, Shandong, China",36.066898,120.382698,Shandong
21,"Shenyang, Liaoning, China",41.799999,123.400002,Liaoning
22,"Hangzhou, Zhejiang, China",30.25,120.166664,Zhejiang
23,"Nanjing, Jiangsu, China",32.049999,118.76667,Jiangsu
24,"Chengdu, Sichuan, China",30.657,104.066002,Sichuan
25,"Wuhan, the city where the coronavirus outbreak began",30.583332,114.283333,the city where the coronavirus outbreak began
26,"Tianjin, People's Republic of China",39.133331,117.183334,People's Republic of China
27,"Beijing, People's Republic of China",39.916668,116.383331,People's Republic of China
28,"Shanghai, China",31.224361,121.46917,China
29,"Xuzhou, Jiangsu, China",34.205769,117.284126,Jiangsu
30,"Zhengzhou, Henan, China",34.746613,113.625328,Henan
31,"Dabu, Meizhou, Guangdong, China",24.347782,116.695198,Meizhou
32,"Taiyuan, Shanxi, China",37.87146,112.551208,Shanxi
33,"Tieling, Liaoning, China",42.223827,123.726036,Liaoning
34,"Shijiazhuang, Hebei, China",38.042805,114.514893,Hebei
35,"Fuqing, Fuzhou, Fujian, China",25.721292,119.384155,Fuzhou
